Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
Capacitor 10µF +/-20% 10V 0603,"Chip Capacitor, 10µF +/-20%, 10V, 0603, Thickness 1 mm","C1, C4, C5",CAPC0603(1608)100_L,CMP-001-00075-5,3,C90806
Capacitor 100 nF +/-10% 50 V 0603,"Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)","C2, C3",CAPC1608X90X40NL10T20,CMP-001-00017-6,2,C323572
USBLC6-2SC6,"Very low capacitance ESD protection, 3.5 pF, -40 to 125 degC, 6-Pin SOT23, RoHS, Tape and Reel",D1,STM-SOT23-6L_V,CMP-2000-05378-1,1,C2687116
MBR120ESFT1G,Schottky Power Rectifier,D2,On_Semiconductor_498_MFG,CMP-1055-00434-2,1,C236132
APHCM2012SYCK-F01,LED YELLOW CLEAR CHIP SMD,D3,FP-APHCM2012SYCK-F01-MFG,CMP-44529-000064-1,1,C2296
T1M-02-T-SH-L-K,"1mm JST Connector, surface mounted, horizontal orientation.",J7,SAMTEC_T1M-02-T-SH-L-K,CMP-015-000000-2,1,C160402
MCP73831T-2ACI/OT,Charger IC Lithium Ion/Polymer SOT-23-5,J8,SOT95P280X145-5N,CMP-017-000000-5,1,C424093
LQG18HN2N2S00D,"General Purpose Inductor, 0.0022uH, 13.636%, 1 Element, Air-Core, SMD, 0603",L1,FP-LQG18HH_00-IPC_A,CMP-006-00021-1,1,C1028
USB4110-GF-A,Conn USB Type C RCP 16 POS 0.3mm/0.5mm Solder ST SMD 16 Terminal 1 Port T/R,P1,FP-USB4110-GF-A-MFG,CMP-002-00073-7,1,C2927040
DMG2305UX-13,MOSFET P-CH 20V 4.2A SOT23,Q1,FP-SOT23-MFG,CMP-12801-000021-1,1,C144153
ERA-3AEB512V,Res Thin Film 0603 5.1K Ohm 0.1% 1/10W ±25ppm/°C Molded SMD SMD Punched Carrier T/R,"R1, R2",FP-ERA3A-MFG,CMP-009-00177-2,2,C881139
Resistor 10k +/-1% 0603 100 mW,"Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)",R3,RESC1608X55X25ML10T15,CMP-009-00017-5,1,C881132
Resistor 100k +/-1% 0603 100 mW,"Chip Resistor, 100 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)","R4, R6, R7",RESC1608X55X25ML10T15,CMP-009-00023-5,3,C881354
Resistor 1k +/-1% 0603 100 mW,"Chip Resistor, 1 KOhm, +/-1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric)",R5,RESC1608X55X25ML10T15,CMP-009-00014-5,1,C176132
TL3342F160QG,"Tactile Switch, SPST-NO, 50 mA, 12 V, 4-Pin SMD, RoHS, Tape and Reel",SW1,ESWI-TL3342F160QG_V,CMP-011-00008-2,1,C2886898
AP2112K-3.3TRG1,Linear Voltage Regulator IC Positive Fixed 1 Output 600mA SOT-25,U1,SOT95P285X140-5N,CMP-031-00006-3,1,C51118
