"Designator","Comment","Layer","Footprint","Mid X(mm)","Mid Y(mm)","Rotation","Description"
"R3","0R","Top","RES_0402_1005","-20,5750","13,7000","90","0402 20 AMP JUMPER"
"R2","0R","Top","RES_0402_1005","-21,8756","13,7000","90","0402 20 AMP JUMPER"
"R1","0R","Top","RES_0402_1005","-23,1750","13,7000","90","0402 20 AMP JUMPER"
"L4","9.7 n","Top","IND_0402_1005","17,9250","15,6750","270","FIXED IND 9.7NH 1.4A 81 MOHM SMD"
"L3","N.C.","Top","IND_0402_1005","21,1250","15,6750","90","FIXED IND 8.3NH 1.5A 0.069OHM SM"
"L2","8.3 n","Top","IND_0402_1005","19,5250","16,1000","180","FIXED IND 8.3NH 1.5A 0.069OHM SM"
"C9","4.7 µ","Top","CAP_0402_1005","10,4250","10,2000","90","CAP CER 4.7UF 16V X5R 0402"
"Y1","32.768 kHz","Top","ABRACON_ABS06","7,3000","16,8500","90","CRYSTAL 32.7680KHZ 12.5PF SMD"
"R7","10 k","Top","RES_0402_1005","4,2000","13,3250","180","RES 10K OHM 0.1% 1/10W 0402"
"C15","18 p","Top","CAP_0402_1005","9,0954","15,7250","270","CAP CER 18PF 100V C0G/NP0 0402"
"C8","18 p","Top","CAP_0402_1005","9,0954","17,9500","90","CAP CER 18PF 100V C0G/NP0 0402"
"A1","AMCA31-2R450G-S1F-T3","TopLayer","FP-AMCA31-MFG","25,3750","16,0750","0","2.45GHz Bluetooth, IoT, ISM, M2M, Wi-Fi, ZigBee™ Chip RF Antenna 2.4GHz ~ 2.5GHz 2.3dBi Solder Surface Mount"
"R6","10 k","Top","RES_0402_1005","6,6250","12,7500","90","RES 10K OHM 0.1% 1/10W 0402"
"Y2","32MHz","Top","BT-XTAL_2016","18,8000","20,8000","90","32 MHz ±10ppm Crystal 8pF 60 Ohms 4-SMD, No Lead"
"U1","NPM1300-QEAA-R","Top","Nordic_QFN50P500X500X90-33N","-11,6250","13,6000","0","Battery Power Management IC Lithium Ion/Polymer 32-QFN (5x5)"
"SW7","PTS840 GK SMTR LFS","Top","EVQP7A_J_B_K","-13,0000","21,1000","180","Microminiature SMT Switch, Side Actuated"
"R8","10 k","Top","RES_0402_1005","-9,1000","21,2250","90","RES 10K OHM 0.1% 1/10W 0402"
"C11","1µ","Top","CAP_0402_1005","9,1154","19,8000","0","CAP CER 1UF 10V X5R 0402"
"C14","0.1µ","Top","CAP_0402_1005","17,1000","10,6650","180","CAP CER 0.1UF 10V X7R 0402"
"C13","0.1µ","Top","CAP_0402_1005","13,9250","10,2000","90","CAP CER 0.1UF 10V X7R 0402"
"C23","4.7 µ","Top","CAP_0402_1005","8,6554","12,1000","180","CAP CER 4.7UF 16V X5R 0402"
"C12","0.1µ","Top","CAP_0402_1005","15,7500","19,8000","270","CAP CER 0.1UF 10V X7R 0402"
"C10","4.7 µ","Top","CAP_0402_1005","8,6554","13,4082","0","CAP CER 4.7UF 16V X5R 0402"
"D1","Red, Green, Blue (RGB)","TopLayer","Citizen_CL-505S-X-SD-T","-21,8756","10,8506","315","LED TRI TOP FIRING 1.0 X 1.0"
"L1","2.2 µ","Top","IND_0402_1005","-16,6370","12,8778","180","IND  2.2UH  1.7OHM  10MA"
"C5","2.2 µ","Top","CAP_0402_1005","-6,4750","11,7450","180","CAP CER 2.2UF 25V X5R 0402"
"C1","1µ","Top","CAP_0402_1005","-6,0600","14,7250","270","CAP CER 1UF 10V X5R 0402"
"C22","8 p","Top","CAP_0402_1005","18,7850","18,8250","180","CAP CER 8PF 50V NP0 0402"
"C17","N.C.","Top","CAP_0402_1005","14,2500","19,8000","270","CAP CER 0.1UF 10V X7R 0402"
"C4","10 µ","Top","CAP_0402_1005","-6,5000","12,9750","0","CAP CER 10UF 10V X5R 0402"
"C18","100 p","Top","CAP_0402_1005","18,7850","17,5750","180","CAP CER 100PF 50V C0G/NP0 0402"
"C6","10 µ","Top","CAP_0402_1005","-16,6370","11,6078","180","CAP CER 10UF 10V X5R 0402"
"C24","8 p","Top","CAP_0402_1005","17,0000","21,0000","270","CAP CER 8PF 50V NP0 0402"
"C3","10 µ","Top","CAP_0402_1005","-15,7500","14,7000","90","CAP CER 10UF 10V X5R 0402"
"C7","0.1µ","Top","CAP_0402_1005","-12,9000","9,8281","0","CAP CER 0.1UF 10V X7R 0402"
"C16","0.1µ","Top","CAP_0402_1005","11,0000","19,8000","270","CAP CER 0.1UF 10V X7R 0402"
"C2","1 µ","Top","CAP_0402_1005","-6,5000","16,5500","180","CAP CER 1UF 10V X5R 0402"
"U2","NRF52840-QIAA-R","Top","NRSC-AQFN-73","13,5000","15,0000","0","IC RF TxRx + MCU 802.15.4, Bluetooth Bluetooth v5.0, Thread, Zigbee® 2.4GHz 73-VFQFN Dual Rows, Exposed Pad"
"R5","300 k","Top","RES_0402_1005","-9,8750","8,7000","90","RES 300K OHM 5% 1/16W 0402"
"C20","1µ","Top","CAP_0402_1005","20,7518","19,3802","270","CAP CER 1UF 10V X5R 0402"
"C19","N.C.","Top","CAP_0402_1005","12,3250","19,8000","270","CAP CER 0.1UF 10V X7R 0402"
